title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Ikota Lekki Lagos,600000000,5.0,6.0,,06 Sep 2025,11 Nov 2025
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR Sale,Chevron Lekki Lagos,510000000,5.0,6.0,,09 Sep 2025,11 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/House FOR SALE,Close To Ogudu Lagos,245000000,4.0,5.0,,15 May 2025,11 Nov 2025
3 Bedroom Detached Bungalow,3 Bedroom Detached Bungalow/House FOR Sale,Abijo Gra Ajah Lagos,60000000,3.0,3.0,,27 Oct 2025,11 Nov 2025
5 Units Of 1 Bedroom Apartment,5 Units Of 1 Bedroom Apartment/Flat Apartment FOR Sale,Ologolo Lekki Lagos,75000000,1.0,2.0,,07 Mar 2025,11 Nov 2025
Standard 6 Bedrooms Duplex,Standard 6 Bedrooms Duplex/House FOR Sale,"Ojodu,lagos Ojodu Lagos",210000000,6.0,6.0,,04 Jul 2025,11 Nov 2025
Full Plot Of Land With Bungalow,Full Plot Of Land With Bungalow/Land FOR Sale,Abule Ijesha Yaba Lagos,150000000,,,,11 Nov 2025,11 Nov 2025
Bungalow,Bungalow/House FOR Sale,"Oworo,lagos Bariga Lagos",38000000,,,,03 May 2025,11 Nov 2025
5 Bedrooms Fully Detached Duplex,5 Bedrooms Fully Detached Duplex/House FOR Sale,Lekki Scheme 2 Ajah Lagos,300000000,5.0,5.0,,23 Jul 2025,11 Nov 2025
Newly Built 3 Bedroom Flat With Bq,Newly Built 3 Bedroom Flat With Bq/Flat Apartment FOR Sale,Ilupeju Lagos,100000000,3.0,3.0,,16 Jun 2025,11 Nov 2025
5 Bedroom Duplex,5 Bedroom Duplex/House FOR Sale,Sabo Yaba Lagos,380000000,5.0,5.0,,14 Jul 2025,11 Nov 2025
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Sale,"Alcove Estate, Alagomeji Yaba Lagos",150000000,3.0,3.0,,14 Jul 2025,11 Nov 2025
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR SALE,Osapa London Lekki Lagos,1600000000,5.0,5.0,,21 Oct 2025,11 Nov 2025
Newly Built 3 Bedroom Flat,Newly Built 3 Bedroom Flat/Flat Apartment FOR Sale,Ifako Gbagada Gbagada Lagos,1500000,3.0,3.0,,03 May 2025,11 Nov 2025
Standard 6 Bedroom Duplex,Standard 6 Bedroom Duplex/House FOR Sale,Ojodu Lagos,210000000,6.0,6.0,,04 Jul 2025,11 Nov 2025
Newly Built 3 Bedroom Flat With Bq,Newly Built 3 Bedroom Flat With Bq/Flat Apartment FOR Sale,Ilupeju Lagos,100000000,3.0,3.0,,16 Jun 2025,11 Nov 2025
3 Bedroom Flat Off Plan,3 Bedroom Flat Off Plan/Flat Apartment FOR Sale,"Coop City Way, Off Cooperative Villa Ajah, Sangotedo Lagos",59000000,3.0,3.0,,13 Dec 2024,11 Nov 2025
4 Bedroom Flat,4 Bedroom Flat/House FOR Sale,"Block2 House3, Alexandra Quarter,kolande Abayomi St, Songotedo, Lekki Lagos",110000000,4.0,4.0,,10 Mar 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR Sale,Lekki Phase 1 Lekki Lagos,260000000,2.0,2.0,,21 Oct 2025,11 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Orchid Lekki Lagos,250000000,4.0,4.0,,21 Oct 2025,11 Nov 2025
Lovely 4 Bedroom Semi Detached Duplex,Lovely 4 Bedroom Semi Detached Duplex/House FOR Sale,Ikota Lekki Lagos,180000000,4.0,4.0,,12 Oct 2025,11 Nov 2025
Stunning 5 Bedroom Detached Duplex,Stunning 5 Bedroom Detached Duplex/House FOR Sale,Ikoyi Lagos,1700000000,5.0,5.0,,19 Oct 2025,11 Nov 2025
Lovely 2 Bedroom Apartment,Lovely 2 Bedroom Apartment/House FOR Sale,Ikate Lekki Lagos,200000000,2.0,2.0,,19 Oct 2025,11 Nov 2025
2 Bedroom Apartment,2 Bedroom Apartment/House FOR Sale,Chevron Lekki Lagos,110000000,2.0,2.0,,23 Oct 2025,11 Nov 2025
37 Shops,37 Shops/Commercial Property FOR SALE,Zone 1 Wuse 1 Abuja,3500000000,,,,19 Sep 2025,11 Nov 2025
3 Bedroom Apartment,3 Bedroom Apartment/House FOR Sale,Ikate Lekki Lagos,200000000,3.0,3.0,,23 Oct 2025,11 Nov 2025
Lovely 4 Bedroom Terraced Duplex,Lovely 4 Bedroom Terraced Duplex/House FOR Sale,Orchid Lekki Lagos,220000000,4.0,,,20 Oct 2025,11 Nov 2025
Stunning 5 Bedroom Detached Duplex,Stunning 5 Bedroom Detached Duplex/House FOR Sale,Lekki Phase 1 Lekki Lagos,770000000,5.0,5.0,,19 Oct 2025,11 Nov 2025
Stunning 5 Bedroom Detached Duplex,Stunning 5 Bedroom Detached Duplex/House FOR Sale,Chevron Lekki Lagos,500000000,5.0,5.0,,20 Oct 2025,11 Nov 2025
Lovely 3 Bedroom Apartment,Lovely 3 Bedroom Apartment/House FOR Sale,Lekki Phase 1 Lekki Lagos,350000000,3.0,3.0,,19 Oct 2025,11 Nov 2025
Stunning 4 Bedroom Detached Duplex,Stunning 4 Bedroom Detached Duplex/House FOR Sale,Orchid Lekki Lagos,160000000,4.0,4.0,,20 Oct 2025,11 Nov 2025
4 Bedroom Detached Duplex With Bq,4 Bedroom Detached Duplex With Bq/House FOR Sale,Orchid Lekki Lagos,165000000,4.0,4.0,,23 Oct 2025,11 Nov 2025
Stunning 5 Bedroom Detached Duplex,Stunning 5 Bedroom Detached Duplex/House FOR Sale,Ikota Lekki Lagos,270000000,5.0,5.0,,12 Oct 2025,11 Nov 2025
4 Bedroom Terrace Duplex,4 Bedroom Terrace Duplex/House FOR Sale,Orchid Lekki Lagos,140000000,4.0,4.0,,23 Oct 2025,11 Nov 2025
2 Bedroom Premium Apartment With Ocean View,2 Bedroom Premium Apartment With Ocean View/Flat / Apartment FOR SALE,"Remi Olowude Street, Oniru Victoria Island Lagos",680000000,2.0,2.0,,05 Oct 2025,11 Nov 2025
Contemporary 4 Bedroom Detached Duplex,Contemporary 4 Bedroom Detached Duplex/House FOR Sale,Ajah Lagos,180000000,4.0,4.0,,14 Oct 2025,11 Nov 2025
Lovely 3 Bedroom Apartment,Lovely 3 Bedroom Apartment/House FOR Sale,Ikate Lekki Lagos,180000000,3.0,3.0,,20 Oct 2025,11 Nov 2025
