title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
3 bedroom detached bungalow,3 bedroom detached bungalow/house for sale,abijo gra ajah lagos,60000000.0,3.0,3.0,,2025-10-27,11 Nov 2025,Lagos,20000000.0,High,2025-10,bungalow
5 units of 1 bedroom apartment,5 units of 1 bedroom apartment/flat apartment for sale,ologolo lekki lagos,75000000.0,1.0,2.0,,2025-03-07,11 Nov 2025,Lagos,75000000.0,High,2025-03,flat/apartment
standard 6 bedrooms duplex,standard 6 bedrooms duplex/house for sale,"ojodu,lagos ojodu lagos",210000000.0,6.0,6.0,,2025-07-04,11 Nov 2025,Lagos,35000000.0,High,2025-07,house
full plot of land with bungalow,full plot of land with bungalow/land for sale,abule ijesha yaba lagos,150000000.0,,,,2025-11-11,11 Nov 2025,Lagos,,High,2025-11,land
bungalow,bungalow/house for sale,"oworo,lagos bariga lagos",38000000.0,,,,2025-05-03,11 Nov 2025,Lagos,,Mid,2025-05,bungalow
5 bedrooms fully detached duplex,5 bedrooms fully detached duplex/house for sale,lekki scheme 2 ajah lagos,300000000.0,5.0,5.0,,2025-07-23,11 Nov 2025,Lagos,60000000.0,High,2025-07,fully detached
newly built 3 bedroom flat with bq,newly built 3 bedroom flat with bq/flat apartment for sale,ilupeju lagos,100000000.0,3.0,3.0,,2025-06-16,11 Nov 2025,Lagos,33333333.333333332,High,2025-06,flat/apartment
5 bedroom duplex,5 bedroom duplex/house for sale,sabo yaba lagos,380000000.0,5.0,5.0,,2025-07-14,11 Nov 2025,Lagos,76000000.0,High,2025-07,house
3 bedroom flat,3 bedroom flat/flat apartment for sale,"alcove estate, alagomeji yaba lagos",150000000.0,3.0,3.0,,2025-07-14,11 Nov 2025,Lagos,50000000.0,High,2025-07,flat/apartment
5 bedroom fully detached duplex,5 bedroom fully detached duplex/house for sale,osapa london lekki lagos,1600000000.0,5.0,5.0,,2025-10-21,11 Nov 2025,Lagos,320000000.0,High,2025-10,fully detached
newly built 3 bedroom flat,newly built 3 bedroom flat/flat apartment for sale,ifako gbagada gbagada lagos,1500000.0,3.0,3.0,,2025-05-03,11 Nov 2025,Lagos,500000.0,Low,2025-05,flat/apartment
standard 6 bedroom duplex,standard 6 bedroom duplex/house for sale,ojodu lagos,210000000.0,6.0,6.0,,2025-07-04,11 Nov 2025,Lagos,35000000.0,High,2025-07,house
3 bedroom flat off plan,3 bedroom flat off plan/flat apartment for sale,"coop city way, off cooperative villa ajah, sangotedo lagos",59000000.0,3.0,3.0,,2024-12-13,11 Nov 2025,Lagos,19666666.666666668,High,2024-12,flat/apartment
4 bedroom flat,4 bedroom flat/house for sale,"block2 house3, alexandra quarter,kolande abayomi st, songotedo, lekki lagos",110000000.0,4.0,4.0,,2025-03-10,11 Nov 2025,Lagos,27500000.0,High,2025-03,flat/apartment
2 bedroom apartment,2 bedroom apartment/house for sale,lekki phase 1 lekki lagos,260000000.0,2.0,2.0,,2025-10-21,11 Nov 2025,Lagos,130000000.0,High,2025-10,flat/apartment
4 bedroom fully detached duplex with bq,4 bedroom fully detached duplex with bq/house for sale,orchid lekki lagos,250000000.0,4.0,4.0,,2025-10-21,11 Nov 2025,Lagos,62500000.0,High,2025-10,fully detached
lovely 4 bedroom semi detached duplex,lovely 4 bedroom semi detached duplex/house for sale,ikota lekki lagos,180000000.0,4.0,4.0,,2025-10-12,11 Nov 2025,Lagos,45000000.0,High,2025-10,semi detached duplex
stunning 5 bedroom detached duplex,stunning 5 bedroom detached duplex/house for sale,ikoyi lagos,1700000000.0,5.0,5.0,,2025-10-19,11 Nov 2025,Lagos,340000000.0,High,2025-10,detached duplex
lovely 2 bedroom apartment,lovely 2 bedroom apartment/house for sale,ikate lekki lagos,200000000.0,2.0,2.0,,2025-10-19,11 Nov 2025,Lagos,100000000.0,High,2025-10,flat/apartment
2 bedroom apartment,2 bedroom apartment/house for sale,chevron lekki lagos,110000000.0,2.0,2.0,,2025-10-23,11 Nov 2025,Lagos,55000000.0,High,2025-10,flat/apartment
37 shops,37 shops/commercial property for sale,zone 1 wuse 1 abuja,3500000000.0,,,,2025-09-19,11 Nov 2025,Abuja,,High,2025-09,shop
3 bedroom apartment,3 bedroom apartment/house for sale,ikate lekki lagos,200000000.0,3.0,3.0,,2025-10-23,11 Nov 2025,Lagos,66666666.666666664,High,2025-10,flat/apartment
lovely 4 bedroom terraced duplex,lovely 4 bedroom terraced duplex/house for sale,orchid lekki lagos,220000000.0,4.0,,,2025-10-20,11 Nov 2025,Lagos,55000000.0,High,2025-10,terraced duplex
stunning 5 bedroom detached duplex,stunning 5 bedroom detached duplex/house for sale,lekki phase 1 lekki lagos,770000000.0,5.0,5.0,,2025-10-19,11 Nov 2025,Lagos,154000000.0,High,2025-10,detached duplex
stunning 5 bedroom detached duplex,stunning 5 bedroom detached duplex/house for sale,chevron lekki lagos,500000000.0,5.0,5.0,,2025-10-20,11 Nov 2025,Lagos,100000000.0,High,2025-10,detached duplex
lovely 3 bedroom apartment,lovely 3 bedroom apartment/house for sale,lekki phase 1 lekki lagos,350000000.0,3.0,3.0,,2025-10-19,11 Nov 2025,Lagos,116666666.66666667,High,2025-10,flat/apartment
stunning 4 bedroom detached duplex,stunning 4 bedroom detached duplex/house for sale,orchid lekki lagos,160000000.0,4.0,4.0,,2025-10-20,11 Nov 2025,Lagos,40000000.0,High,2025-10,detached duplex
4 bedroom detached duplex with bq,4 bedroom detached duplex with bq/house for sale,orchid lekki lagos,165000000.0,4.0,4.0,,2025-10-23,11 Nov 2025,Lagos,41250000.0,High,2025-10,detached duplex
stunning 5 bedroom detached duplex,stunning 5 bedroom detached duplex/house for sale,ikota lekki lagos,270000000.0,5.0,5.0,,2025-10-12,11 Nov 2025,Lagos,54000000.0,High,2025-10,detached duplex
4 bedroom terrace duplex,4 bedroom terrace duplex/house for sale,orchid lekki lagos,140000000.0,4.0,4.0,,2025-10-23,11 Nov 2025,Lagos,35000000.0,High,2025-10,house
2 bedroom premium apartment with ocean view,2 bedroom premium apartment with ocean view/flat / apartment for sale,"remi olowude street, oniru victoria island lagos",680000000.0,2.0,2.0,,2025-10-05,11 Nov 2025,Lagos,340000000.0,High,2025-10,flat/apartment
contemporary 4 bedroom detached duplex,contemporary 4 bedroom detached duplex/house for sale,ajah lagos,180000000.0,4.0,4.0,,2025-10-14,11 Nov 2025,Lagos,45000000.0,High,2025-10,detached duplex
lovely 3 bedroom apartment,lovely 3 bedroom apartment/house for sale,ikate lekki lagos,180000000.0,3.0,3.0,,2025-10-20,11 Nov 2025,Lagos,60000000.0,High,2025-10,flat/apartment
stunning 5 bedroom detached duplex,stunning 5 bedroom detached duplex/house for sale,vgc lekki lagos,370000000.0,5.0,5.0,,2025-11-02,11 Nov 2025,Lagos,74000000.0,High,2025-11,detached duplex
stunning 4 bedroom semi detached duplex,stunning 4 bedroom semi detached duplex/house for sale,lekki conservation chevron lekki lagos,160000000.0,4.0,4.0,,2025-10-21,11 Nov 2025,Lagos,40000000.0,High,2025-10,semi detached duplex
3 bedroom terrace duplex,3 bedroom terrace duplex/house for sale,orchid lekki lagos,110000000.0,3.0,3.0,,2025-10-21,11 Nov 2025,Lagos,36666666.666666664,High,2025-10,house
5 bedroom semi detached duplex with bq,5 bedroom semi detached duplex with bq/house for sale,victory park estate osapa london lekki lagos,480000000.0,5.0,5.0,,2025-10-21,11 Nov 2025,Lagos,96000000.0,High,2025-10,semi detached duplex
lovely 2 bedroom apartment,lovely 2 bedroom apartment/house for sale,chevron lekki lagos,82000000.0,2.0,2.0,,2025-10-21,11 Nov 2025,Lagos,41000000.0,High,2025-10,flat/apartment
luxury 4 bedroom terraced duplex,luxury 4 bedroom terraced duplex/house for sale,ikoyi lagos,900000000.0,4.0,4.0,,2025-10-15,11 Nov 2025,Lagos,225000000.0,High,2025-10,terraced duplex
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,lekki phase 1 lekki lagos,850000000.0,5.0,5.0,,2025-10-22,11 Nov 2025,Lagos,170000000.0,High,2025-10,detached duplex
3 bedroom apartment with bq,3 bedroom apartment with bq/flat / apartment for sale,old ikoyi ikoyi lagos,1300000000.0,3.0,3.0,,2025-05-26,11 Nov 2025,Lagos,433333333.3333333,High,2025-05,flat/apartment
3 bedroom maisonette,3 bedroom maisonette/house for sale,ikate lekki lagos,220000000.0,3.0,3.0,,2025-10-22,11 Nov 2025,Lagos,73333333.33333333,High,2025-10,house
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,victory park estate osapa london lekki lagos,750000000.0,5.0,5.0,,2025-10-02,11 Nov 2025,Lagos,150000000.0,High,2025-10,detached duplex
stunning 4 bedroom terrace duplex,stunning 4 bedroom terrace duplex/house for sale,orchid lekki lagos,95000000.0,4.0,4.0,,2025-10-21,11 Nov 2025,Lagos,23750000.0,High,2025-10,house
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,orchid lekki lagos,155000000.0,4.0,4.0,,2025-10-21,11 Nov 2025,Lagos,38750000.0,High,2025-10,semi detached duplex
